unique_id,variable,response
517633,age,35
344823,sex,m
540747,age,18
598864,sex,f
541812,age,18
545775,age,44
416090,age,24
387843,age,31
NA,sex,f
479700,sex,f
406813,sex,m
395396,age,18
493509,age,15
571277,sex,m
160276,sex,NA
217945,age,18
109945,sex,NA
417047,age,19
NA,sex,m
315741,age,26
482080,sex,f
216895,sex,m
236006,sex,f
382736,age,34
221960,age,18
378376,sex,m
603982,age,36
351386,age,25
441114,sex,f
94833,age,17
454595,sex,m
335456,sex,m
143676,age,NA
243776,age,34
570900,sex,f
436135,age,40
478453,age,NA
235449,sex,m
163059,age,NA
122354,sex,NA
355098,sex,f
480096,age,28
113058,age,NA
205155,age,NA
267673,age,21
536243,sex,m
551790,age,NA
126359,age,NA
368898,age,19
251622,age,34
585669,age,33
476250,sex,m
NA,age,NA
164949,sex,NA
351844,sex,m
566402,age,27
187119,age,NA
282338,age,40
512408,age,23
401456,sex,f
646689,sex,f
247100,age,37
169046,age,NA
364844,sex,m
258215,sex,m
601961,age,19
423241,age,28
154148,age,23
406316,sex,m
126302,sex,NA
619168,age,20
508845,sex,f
315603,sex,m
503174,sex,f
491400,sex,f
260407,age,34
538432,sex,f
153503,sex,NA
493851,sex,m
335938,age,21
457938,sex,m
655097,age,30
321340,sex,m
494509,sex,NA
424566,sex,f
490735,sex,NA
480806,sex,m
287410,sex,m
236899,age,24
86261,age,NA
249620,sex,f
628970,age,20
599331,age,21
656274,age,25
111435,age,NA
173880,age,NA
418530,sex,f
204576,age,NA
448425,sex,m
381198,age,38
NA,age,NA
309997,sex,m
264101,sex,f
213206,sex,f
546950,age,52
166574,sex,NA
405937,sex,f
283529,sex,f
449015,sex,f
399872,sex,m
509434,sex,m
179538,age,NA
457804,age,22
134619,sex,NA
645989,sex,f
393236,age,24
663876,age,27
406108,age,25
271316,age,30
602068,age,49
359759,sex,f
228979,sex,f
338747,age,39
554816,age,25
507630,sex,m
646181,sex,f
139586,sex,NA
174414,age,NA
359030,sex,f
231482,sex,f
510468,age,22
489618,sex,f
389746,age,18
575991,age,37
487434,sex,NA
353547,age,19
224825,age,20
514635,sex,f
441929,age,55
271215,age,23
146021,age,NA
377544,sex,f
286150,sex,m
490060,sex,f
181683,age,NA
531885,sex,m
641680,sex,f
439535,age,46
577826,age,29
112777,sex,NA
581781,age,45
182922,sex,NA
95524,age,NA
597951,age,NA
422715,age,53
583114,age,18
217982,sex,f
261132,age,56
281334,age,17
166639,sex,NA
385320,sex,f
519026,sex,NA
256134,age,37
503949,sex,f
300618,age,19
412789,sex,m
218847,sex,m
542216,sex,m
271051,age,21
135090,sex,NA
391768,age,21
NA,sex,f
519054,age,30
183227,sex,NA
596204,age,18
157816,age,NA
405716,sex,NA
392856,sex,f
201896,age,NA
278892,sex,f
650297,age,29
566536,sex,m
120661,age,NA
394488,age,45
663623,age,23
197717,age,NA
346309,age,19
462480,sex,m
654647,age,22
108157,age,NA
108938,sex,NA
243698,sex,f
378681,age,18
284232,age,41
122130,age,NA
484045,sex,m
543037,age,NA
459910,sex,m
187941,age,NA
226686,sex,m
265240,age,18
127421,sex,NA
123296,sex,NA
551400,age,27
90726,age,NA
504726,age,23
NA,age,NA
351763,age,23
135497,sex,NA
NA,sex,m
555489,sex,f
548495,age,30
215813,age,36
108272,sex,f
514680,sex,f
265033,sex,f
413751,sex,f
526182,sex,f
502111,sex,NA
643866,age,35
424205,sex,NA
540808,sex,m
168881,age,NA
215646,age,50
276021,sex,f
270831,sex,NA
645203,age,29
263340,age,NA
305487,age,27
160457,sex,NA
NA,sex,NA
224940,sex,m
306326,sex,f
436176,age,32
158280,sex,f
350522,age,29
290875,age,34
504270,sex,f
409552,sex,f
585309,sex,f
162122,age,NA
429748,sex,m
279668,age,19
484685,age,35
164905,sex,NA
106821,sex,NA
220864,age,25
264575,age,23
NA,sex,m
165021,age,NA
149148,sex,NA
106037,age,NA
656844,sex,m
433912,age,52
NA,age,NA
147280,sex,NA
387740,sex,m
207507,sex,NA
NA,sex,m
485217,age,18
577379,age,21
193641,age,NA
511796,age,21
121633,age,NA
448146,age,35
260716,sex,f
254698,age,24
516081,age,NA
442364,age,20
517215,sex,f
NA,sex,m
448924,sex,f
418740,sex,f
138247,age,NA
136396,age,NA
NA,age,NA
230840,sex,f
232196,age,17
141732,sex,NA
NA,sex,m
399930,sex,m
NA,sex,m
206732,sex,NA
368835,sex,m
519167,age,23
453310,age,28
407474,sex,f
338597,age,33
276796,sex,f
345361,age,56
227797,age,50
575326,sex,f
555841,age,NA
415637,sex,m
174147,sex,NA
590344,age,41
502137,age,17
503667,age,22
239398,age,56
313028,age,26
325150,sex,f
190491,sex,NA
568001,sex,m
NA,sex,m
376886,age,21
674293,age,35
307361,sex,m
598331,age,23
340729,sex,f
418104,sex,f
648484,age,28
270116,age,50
505583,age,56
172649,sex,NA
124657,age,NA
417127,sex,f
551037,age,36
176793,sex,NA
545605,sex,f
NA,age,NA
192155,age,NA
616720,age,33
NA,age,NA
594216,age,20
569618,sex,m
276425,sex,m
363948,sex,m
574879,sex,f
NA,sex,f
100449,sex,NA
213485,age,18
139205,sex,NA
231009,sex,f
602475,sex,m
456970,sex,f
357868,sex,f
150006,age,NA
284234,sex,f
194318,age,NA
294980,sex,f
247732,sex,f
176099,age,NA
228393,age,18
457387,sex,f
269042,age,NA
255254,age,18
257715,age,26
453856,age,20
217070,sex,NA
443568,age,39
315310,age,19
447360,age,26
255405,sex,f
156348,age,60
197723,sex,NA
236165,sex,f
364455,age,22
609261,age,31
447258,sex,m
236538,sex,m
430484,age,19
266227,sex,f
192001,age,NA
492530,age,18
NA,sex,m
671639,age,22
134823,sex,NA
516105,sex,f
126315,age,NA
542318,age,27
152397,age,NA
340427,sex,f
341065,age,21
171729,age,NA
463398,age,26
120164,age,NA
422432,sex,f
525568,age,29
148788,sex,NA
306975,age,22
191916,age,NA
542470,age,30
416581,age,25
303737,sex,NA
289290,age,32
599795,age,32
241385,sex,f
113996,sex,NA
196935,age,NA
520564,sex,f
239486,sex,f
382251,sex,NA
455635,age,26
228999,sex,f
647929,age,19
163479,age,26
237542,age,25
237374,sex,f
510686,sex,f
651673,sex,m
254028,sex,m
349601,age,22
246874,sex,f
182699,age,NA
535686,age,NA
114908,sex,NA
600313,age,44
161976,sex,NA
663683,age,29
597359,sex,f
655780,sex,f
505001,sex,f
135108,sex,NA
414250,sex,m
155565,sex,NA
420230,age,72
298426,sex,f
323490,sex,f
666038,age,19
647471,sex,NA
595095,sex,f
620432,age,22
NA,sex,f
146679,sex,NA
NA,age,NA
243823,sex,f
304172,age,23
233332,sex,f
226881,age,54
369385,age,25
575456,age,12
541817,sex,f
355169,age,28
178665,sex,NA
156567,sex,NA
360122,sex,m
116557,sex,NA
170914,age,NA
666700,age,18
365790,sex,m
368875,sex,m
533570,age,NA
233529,sex,f
503383,sex,m
212582,age,25
466598,age,20
NA,age,NA
437004,age,20
284563,sex,NA
117605,sex,NA
249867,age,36
218520,sex,f
326298,age,57
430853,sex,m
314636,age,13
NA,age,NA
652201,sex,f
409765,age,50
506223,sex,f
415609,sex,f
167244,age,NA
256985,age,29
281307,sex,m
604644,age,19
332004,sex,m
658068,age,38
412967,sex,m
132761,sex,NA
349179,sex,m
662709,sex,f
409784,sex,m
315360,sex,f
554592,sex,m
143071,sex,NA
256985,sex,m
491420,sex,f
555368,age,29
119006,age,NA
672901,age,22
127028,age,NA
671298,age,35
453982,age,70
392142,sex,f
534599,sex,m
272626,sex,NA
643431,sex,f
452027,sex,m
398582,sex,f
377119,sex,m
439629,age,21
174106,age,NA
589883,age,56
635727,age,18
230478,age,25
279360,sex,m
565373,age,23
152666,sex,NA
649962,age,20
491670,sex,f
352817,sex,f
290294,age,18
129425,age,NA
191364,age,NA
233478,age,63
365382,age,NA
483116,age,42
373040,sex,f
399312,sex,f
290370,age,31
127334,sex,NA
351555,sex,m
645200,age,32
336077,sex,m
365015,age,NA
190153,sex,NA
NA,sex,f
379747,age,26
490698,age,20
223709,sex,f
248724,sex,m
302246,age,22
161045,sex,NA
402794,sex,m
338560,age,NA
89811,sex,NA
148334,age,NA
541369,age,23
581545,age,29
225709,sex,m
430819,sex,f
303387,sex,f
411325,age,54
386946,sex,f
120584,age,NA
240794,sex,m
267174,age,44
98918,sex,NA
513077,sex,f
NA,age,NA
260021,sex,f
661519,sex,f
461468,sex,f
109850,sex,NA
655944,age,58
109780,sex,NA
642047,age,20
296148,sex,NA
269391,age,23
326315,sex,f
86629,age,NA
294021,sex,m
548090,age,30
392618,sex,m
NA,sex,m
548671,sex,f
619289,sex,m
521043,sex,m
148401,age,NA
NA,age,NA
NA,age,NA
500112,age,20
153850,age,17
516112,age,33
360637,age,NA
469343,age,39
598406,age,30
189755,sex,NA
508234,age,21
389701,age,20
476822,sex,f
418419,age,38
566421,sex,f
NA,sex,m
378671,age,48
551333,sex,f
476039,sex,f
101837,sex,NA
250775,age,19
185809,sex,NA
603965,age,23
222444,age,25
121484,sex,NA
375173,age,33
410236,age,19
373450,age,21
120075,age,NA
NA,sex,m
350829,age,30
570170,age,33
165569,sex,NA
258734,age,57
581109,age,18
632220,sex,f
566222,age,25
646064,sex,m
403313,sex,f
593405,sex,m
194302,age,NA
502860,age,20
411212,age,19
192754,sex,NA
470923,sex,f
256404,sex,f
89554,sex,NA
441276,sex,f
415457,sex,m
316791,sex,f
451200,sex,f
558334,age,54
499997,sex,f
643482,age,20
605338,age,35
266124,age,24
406344,age,21
273100,age,18
360525,age,25
465015,sex,m
574125,age,43
134645,sex,NA
262638,sex,f
217662,age,21
160930,age,NA
287056,sex,f
575821,age,20
640874,age,18
648005,sex,f
196361,sex,NA
197314,sex,NA
231050,age,22
223612,age,31
551695,age,21
321225,sex,m
229386,age,24
87474,sex,NA
499627,age,19
241623,age,19
127359,age,NA
250604,age,50
268921,age,28
145753,sex,NA
170571,age,NA
470549,sex,f
206971,age,NA
220606,sex,f
430134,sex,m
336856,age,22
332653,sex,f
NA,age,NA
320334,age,32
243726,age,19
NA,sex,f
170082,age,NA
445820,sex,f
241041,sex,f
144627,sex,NA
245165,age,33
544454,age,46
332025,sex,m
265004,sex,f
527936,sex,f
123141,age,NA
329961,sex,m
261028,sex,f
251400,age,17
503453,sex,m
160814,age,NA
124961,sex,NA
639160,age,30
121501,age,34
NA,sex,f
290549,age,43
168038,sex,NA
201016,sex,NA
415133,age,19
210235,age,NA
442363,age,21
142401,sex,NA
596007,age,32
298086,sex,f
126358,sex,NA
229003,sex,m
644387,sex,f
606102,age,19
531934,age,20
173906,sex,NA
365808,age,15
280414,sex,f
322514,age,15
414584,sex,f
311342,age,NA
189886,age,NA
555798,sex,m
544251,sex,f
346526,sex,f
428340,sex,f
439262,sex,m
385081,sex,f
154005,sex,NA
324245,age,43
343953,age,26
445198,sex,f
167563,sex,NA
510151,age,22
548238,sex,m
131348,sex,NA
321676,sex,f
445744,sex,f
515236,sex,m
188877,age,NA
179328,age,NA
89064,sex,NA
372755,age,23
511462,age,19
596601,sex,NA
563666,sex,f
505757,age,19
329197,sex,m
430003,sex,f
318274,age,20
339685,sex,f
646444,age,57
461008,age,24
466743,sex,m
548859,age,20
581846,sex,f
432820,age,51
475323,age,22
549533,sex,f
567454,age,26
425366,age,32
313159,sex,m
586819,age,21
438250,age,53
506241,age,22
281906,age,58
436976,age,18
213036,sex,m
403159,sex,m
360148,sex,m
167628,sex,NA
492856,sex,m
385940,sex,f
657019,age,31
214649,sex,m
149943,age,NA
614637,age,19
185402,age,NA
310902,age,33
192860,age,NA
121464,age,NA
347660,sex,f
142602,age,NA
296840,age,25
359139,sex,f
351053,age,45
380431,sex,f
654469,sex,f
183479,age,NA
534218,sex,m
584648,sex,m
116246,sex,NA
420016,age,16
419027,sex,f
343845,sex,m
156528,sex,NA
144643,age,NA
429904,age,18
503916,sex,m
477551,age,19
385826,sex,f
220836,sex,f
284697,age,23
330082,age,41
518632,sex,f
306063,sex,f
663961,age,45
406222,sex,m
282179,sex,NA
251245,sex,f
237662,age,20
477023,sex,m
281457,sex,f
250033,sex,m
346268,sex,m
219645,sex,f
597727,age,34
381749,age,30
483423,age,20
180296,age,NA
292274,sex,m
422672,age,NA
320319,sex,m
190545,age,NA
594682,age,26
186344,age,NA
173660,age,NA
100133,age,NA
381824,sex,m
342781,age,23
215432,sex,m
261695,sex,m
488737,age,18
606705,age,42
115370,age,NA
270523,sex,f
262077,sex,m
418290,sex,f
173634,sex,NA
251595,sex,m
183786,age,NA
389048,age,27
411836,age,29
419665,age,20
571026,sex,m
351854,sex,f
234162,age,31
282432,age,21
341113,sex,m
NA,sex,m
132949,sex,NA
483828,sex,NA
486766,age,19
173059,age,NA
592543,age,18
266725,age,24
208583,sex,NA
597712,sex,NA
305569,age,18
451705,sex,f
556558,age,NA
94411,sex,NA
350741,sex,m
141248,age,NA
363791,sex,m
517954,age,21
206682,sex,NA
672718,sex,f
569602,age,19
257640,sex,f
386460,sex,f
359084,sex,f
157462,age,NA
539710,sex,f
382814,sex,m
390280,age,18
503115,sex,f
156382,age,NA
143935,sex,NA
550866,sex,m
568493,age,31
620514,sex,f
415894,age,34
182822,sex,f
103785,age,NA
400842,sex,f
351472,age,22
270550,age,35
400375,sex,f
185638,age,NA
138032,age,NA
451419,age,17
460261,age,24
239266,age,24
NA,age,NA
326611,age,34
135687,sex,NA
477146,sex,f
590706,sex,m
491621,age,26
171757,age,NA
456056,age,40
601062,sex,m
264937,age,37
179789,sex,NA
246503,sex,f
576145,age,24
307830,sex,f
NA,age,NA
558945,age,38
460033,sex,f
477077,age,41
324145,age,24
306078,sex,m
459307,age,24
276538,age,NA
605475,sex,NA
388858,sex,m
204558,age,NA
277465,age,18
408552,sex,NA
232873,sex,f
227689,age,21
474385,sex,f
252231,sex,NA
388607,sex,f
175529,sex,NA
104661,sex,NA
503779,sex,m
346342,age,25
514306,sex,NA
192588,sex,NA
633577,age,30
368554,sex,f
99702,age,NA
504587,age,20
322242,age,29
255925,sex,f
545694,age,44
545926,sex,f
319588,sex,m
481030,age,40
571740,age,29
325467,age,49
301074,sex,f
415801,age,28
469376,sex,f
225222,sex,f
199808,age,NA
492777,sex,f
134221,sex,NA
114666,sex,NA
545879,age,51
196949,age,NA
566579,sex,f
151981,sex,NA
95069,age,NA
216026,age,28
146757,sex,NA
273017,sex,m
616070,age,47
598389,age,42
486793,sex,f
105046,age,NA
310781,sex,f
476621,sex,f
339892,age,27
646523,sex,m
345705,sex,m
479201,sex,f
452434,age,30
548590,age,46
223049,age,61
300301,age,19
373662,age,32
NA,age,NA
146093,sex,NA
254440,age,20
261489,age,19
129445,sex,NA
159591,sex,m
618196,sex,m
500118,age,26
189953,age,NA
364907,age,45
510024,sex,m
304567,sex,f
599296,age,21
265760,sex,m
553505,sex,f
125656,sex,f
639218,age,19
489457,age,18
622244,sex,NA
183814,sex,f
657820,age,17
473806,age,NA
159722,sex,NA
404170,age,15
204868,sex,NA
181144,age,NA
378535,sex,NA
369628,age,36
299260,sex,f
231649,age,31
502999,sex,m
228160,age,24
452623,sex,m
216422,sex,m
198126,age,NA
582017,sex,f
133518,age,NA
505103,age,24
607120,age,25
410649,sex,f
403876,age,20
244514,age,24
302886,sex,f
223231,sex,f
163754,sex,NA
606691,sex,f
354790,sex,f
266939,age,20
190604,age,NA
391234,age,15
97858,sex,NA
441993,age,31
323289,age,NA
660205,sex,m
476680,age,19
379567,sex,f
164627,age,NA
117816,sex,NA
173840,age,NA
651432,sex,f
453831,sex,m
431462,age,20
378913,sex,f
319631,age,19
264374,age,25
629114,age,24
674470,age,23
623549,age,22
361687,age,19
402740,sex,f
367718,age,9
547605,sex,m
141760,sex,NA
405680,sex,f
462672,sex,m
669609,age,20
NA,age,NA
193606,sex,NA
322291,age,29
169307,sex,NA
260240,age,29
86583,sex,NA
156151,age,NA
241180,age,18
292540,age,62
160137,age,NA
452437,sex,f
99435,sex,NA
250113,sex,NA
518378,sex,f
583658,sex,m
585901,sex,f
373060,age,18
159840,age,NA
315896,age,48
203106,age,NA
394750,sex,m
353833,sex,NA
NA,age,NA
545197,age,30
626973,sex,m
372918,sex,m
291753,sex,m
421096,sex,m
505729,sex,f
213448,age,20
472727,age,NA
133158,age,NA
425832,age,20
581645,age,24
165635,age,NA
279544,sex,NA
500478,sex,f
253121,age,20
460272,age,43
373777,age,22
314154,sex,m
204375,age,NA
220834,age,20
376942,age,29
211217,age,NA
365441,sex,f
375000,sex,f
303410,age,20
385746,sex,f
102388,age,NA
190776,sex,NA
421716,age,18
167703,sex,NA
504919,age,19
345211,age,35
467776,age,28
600552,age,22
99820,sex,NA
88760,sex,NA
291631,sex,m
266744,age,19
194244,age,NA
283802,sex,f
217531,age,19
329044,sex,f
593042,sex,NA
357865,age,46
487382,sex,m
137967,sex,NA
188033,sex,NA
419766,age,44
403704,sex,f
143009,age,NA
120533,sex,NA
