Participant,Block,,Trial,,
162402,3,"Black People/Bad,White People/Good",Black People/Bad,incorrect,1543
162402,4,"Black People/Bad,White People/Good",Black People/Bad,incorrect,14141
162402,4,"Black People/Bad,White People/Good",White People/Good,correct,856
162402,4,"Black People/Bad,White People/Good",White People/Good,correct,775
162402,4,"Black People/Bad,White People/Good",White People/Good,correct,555
162402,4,"Black People/Bad,White People/Good",Black People/Bad,correct,1676
162402,4,"Black People/Bad,White People/Good",Black People/Bad,correct,769
162402,4,"Black People/Bad,White People/Good",Black People/Bad,correct,697
162402,4,"Black People/Bad,White People/Good",White People/Good,correct,1543
162402,4,"Black People/Bad,White People/Good",White People/Good,correct,933
162402,4,"Black People/Bad,White People/Good",Black People/Bad,correct,733
162402,4,"Black People/Bad,White People/Good",Black People/Bad,correct,1797
162402,4,"Black People/Bad,White People/Good",Black People/Bad,correct,1167
162402,4,"Black People/Bad,White People/Good",Black People/Bad,correct,897
162402,4,"Black People/Bad,White People/Good",Black People/Bad,correct,1279
162402,4,"Black People/Bad,White People/Good",Black People/Bad,correct,1479
162402,4,"Black People/Bad,White People/Good",White People/Good,correct,1745
162402,4,"Black People/Bad,White People/Good",White People/Good,correct,1641
162402,4,"Black People/Bad,White People/Good",White People/Good,correct,1398
162402,4,"Black People/Bad,White People/Good",White People/Good,correct,733
162402,4,"Black People/Bad,White People/Good",Black People/Bad,correct,872
162402,4,"Black People/Bad,White People/Good",White People/Good,correct,844
162402,4,"Black People/Bad,White People/Good",White People/Good,correct,1119
162402,4,"Black People/Bad,White People/Good",White People/Good,correct,616
162402,4,"Black People/Bad,White People/Good",White People/Good,correct,595
162402,4,"Black People/Bad,White People/Good",White People/Good,correct,1032
162402,4,"Black People/Bad,White People/Good",Black People/Bad,correct,1514
162402,4,"Black People/Bad,White People/Good",Black People/Bad,correct,972
162402,4,"Black People/Bad,White People/Good",White People/Good,correct,846
162402,4,"Black People/Bad,White People/Good",Black People/Bad,correct,1455
162402,4,"Black People/Bad,White People/Good",White People/Good,correct,1725
162402,4,"Black People/Bad,White People/Good",White People/Good,correct,855
162402,4,"Black People/Bad,White People/Good",Black People/Bad,correct,754
162402,4,"Black People/Bad,White People/Good",White People/Good,correct,774
162402,4,"Black People/Bad,White People/Good",Black People/Bad,correct,750
162402,4,"Black People/Bad,White People/Good",Black People/Bad,correct,937
162402,4,"Black People/Bad,White People/Good",White People/Good,correct,930
162402,4,"Black People/Bad,White People/Good",White People/Good,correct,1523
162402,4,"Black People/Bad,White People/Good",Black People/Bad,correct,1024
162402,4,"Black People/Bad,White People/Good",Black People/Bad,correct,1483
162402,4,"Black People/Bad,White People/Good",Black People/Bad,correct,1982
162402,5,"White People,Black People",White People,correct,1361
162402,5,"White People,Black People",White People,correct,997
162402,5,"White People,Black People",Black People,correct,995
162402,5,"White People,Black People",Black People,correct,731
162402,5,"White People,Black People",White People,correct,906
162402,5,"White People,Black People",White People,correct,1108
162402,5,"White People,Black People",Black People,correct,863
162402,5,"White People,Black People",Black People,correct,566
162402,5,"White People,Black People",White People,correct,847
162402,5,"White People,Black People",White People,correct,899
162402,5,"White People,Black People",Black People,correct,841
162402,5,"White People,Black People",Black People,correct,657
162402,5,"White People,Black People",White People,correct,1136
162402,5,"White People,Black People",Black People,correct,783
162402,5,"White People,Black People",Black People,correct,597
162402,5,"White People,Black People",White People,correct,780
162402,5,"White People,Black People",White People,correct,676
162402,5,"White People,Black People",Black People,correct,685
162402,5,"White People,Black People",Black People,correct,843
162402,5,"White People,Black People",Black People,correct,647
162402,5,"White People,Black People",Black People,correct,572
162402,5,"White People,Black People",Black People,correct,554
162402,5,"White People,Black People",White People,correct,684
162402,5,"White People,Black People",White People,correct,493
162402,5,"White People,Black People",White People,correct,675
162402,5,"White People,Black People",Black People,correct,590
162402,5,"White People,Black People",Black People,correct,535
162402,5,"White People,Black People",White People,correct,1120
162402,5,"White People,Black People",Black People,correct,612
162402,5,"White People,Black People",White People,correct,876
162402,5,"White People,Black People",White People,correct,785
162402,5,"White People,Black People",White People,correct,676
162402,5,"White People,Black People",White People,correct,829
162402,5,"White People,Black People",White People,correct,757
162402,5,"White People,Black People",Black People,correct,714
162402,5,"White People,Black People",Black People,correct,477
162402,5,"White People,Black People",White People,correct,765
162402,5,"White People,Black People",White People,correct,559
162402,5,"White People,Black People",Black People,correct,539
162402,5,"White People,Black People",Black People,correct,530
162402,6,"White People/Bad,Black People/Good",Black People/Good,correct,1676
162402,6,"White People/Bad,Black People/Good",White People/Bad,incorrect,3648
162402,6,"White People/Bad,Black People/Good",Black People/Good,correct,845
162402,6,"White People/Bad,Black People/Good",Black People/Good,correct,708
162402,6,"White People/Bad,Black People/Good",White People/Bad,incorrect,1796
162402,6,"White People/Bad,Black People/Good",Black People/Good,correct,1623
162402,6,"White People/Bad,Black People/Good",Black People/Good,correct,1348
162402,6,"White People/Bad,Black People/Good",White People/Bad,correct,1026
162402,6,"White People/Bad,Black People/Good",White People/Bad,incorrect,2490
162402,6,"White People/Bad,Black People/Good",White People/Bad,correct,1385
162402,6,"White People/Bad,Black People/Good",White People/Bad,incorrect,2431
162402,6,"White People/Bad,Black People/Good",White People/Bad,correct,1400
162402,6,"White People/Bad,Black People/Good",White People/Bad,correct,1778
162402,6,"White People/Bad,Black People/Good",Black People/Good,correct,2102
162402,6,"White People/Bad,Black People/Good",White People/Bad,correct,1903
162402,6,"White People/Bad,Black People/Good",White People/Bad,correct,1716
162402,6,"White People/Bad,Black People/Good",Black People/Good,correct,2109
162402,6,"White People/Bad,Black People/Good",Black People/Good,correct,1648
162402,6,"White People/Bad,Black People/Good",Black People/Good,correct,1020
162402,6,"White People/Bad,Black People/Good",Black People/Good,correct,899
162402,7,"White People/Bad,Black People/Good",Black People/Good,correct,1722
162402,7,"White People/Bad,Black People/Good",Black People/Good,correct,847
162402,7,"White People/Bad,Black People/Good",White People/Bad,correct,1199
162402,7,"White People/Bad,Black People/Good",White People/Bad,correct,1472
162402,7,"White People/Bad,Black People/Good",White People/Bad,correct,1113
162402,7,"White People/Bad,Black People/Good",Black People/Good,correct,958
162402,7,"White People/Bad,Black People/Good",Black People/Good,correct,1215
162402,7,"White People/Bad,Black People/Good",White People/Bad,correct,1003
162402,7,"White People/Bad,Black People/Good",White People/Bad,correct,1724
162402,7,"White People/Bad,Black People/Good",White People/Bad,correct,1130
162402,7,"White People/Bad,Black People/Good",White People/Bad,correct,989
162402,7,"White People/Bad,Black People/Good",White People/Bad,correct,868
162402,7,"White People/Bad,Black People/Good",Black People/Good,correct,1832
162402,7,"White People/Bad,Black People/Good",Black People/Good,correct,3627
162402,7,"White People/Bad,Black People/Good",Black People/Good,correct,923
162402,7,"White People/Bad,Black People/Good",Black People/Good,correct,1186
162402,7,"White People/Bad,Black People/Good",White People/Bad,correct,1080
162402,7,"White People/Bad,Black People/Good",Black People/Good,correct,1175
162402,7,"White People/Bad,Black People/Good",Black People/Good,correct,1001
162402,7,"White People/Bad,Black People/Good",Black People/Good,correct,1083
162402,7,"White People/Bad,Black People/Good",Black People/Good,correct,697
162402,7,"White People/Bad,Black People/Good",Black People/Good,correct,572
162402,7,"White People/Bad,Black People/Good",White People/Bad,correct,1368
162402,7,"White People/Bad,Black People/Good",Black People/Good,correct,553
162402,7,"White People/Bad,Black People/Good",Black People/Good,correct,805
162402,7,"White People/Bad,Black People/Good",White People/Bad,correct,1000
162402,7,"White People/Bad,Black People/Good",Black People/Good,correct,899
162402,7,"White People/Bad,Black People/Good",Black People/Good,correct,1139
162402,7,"White People/Bad,Black People/Good",Black People/Good,correct,899
162402,7,"White People/Bad,Black People/Good",White People/Bad,correct,1061
162402,7,"White People/Bad,Black People/Good",White People/Bad,correct,890
162402,7,"White People/Bad,Black People/Good",White People/Bad,correct,843
162402,7,"White People/Bad,Black People/Good",Black People/Good,correct,905
162402,7,"White People/Bad,Black People/Good",Black People/Good,correct,1010
162402,7,"White People/Bad,Black People/Good",White People/Bad,correct,777
162402,7,"White People/Bad,Black People/Good",White People/Bad,correct,888
162402,7,"White People/Bad,Black People/Good",White People/Bad,correct,949
162402,7,"White People/Bad,Black People/Good",White People/Bad,correct,734
162402,7,"White People/Bad,Black People/Good",White People/Bad,correct,514
162402,7,"White People/Bad,Black People/Good",White People/Bad,correct,649
163143,1,"Black People,White People",Black People,correct,910
163143,1,"Black People,White People",White People,correct,473
163143,1,"Black People,White People",Black People,correct,591
163143,1,"Black People,White People",White People,correct,586
163143,1,"Black People,White People",White People,correct,563
163143,1,"Black People,White People",White People,correct,907
163143,1,"Black People,White People",White People,correct,655
163143,1,"Black People,White People",Black People,correct,735
163143,1,"Black People,White People",White People,correct,484
163143,1,"Black People,White People",White People,correct,494
163143,1,"Black People,White People",Black People,correct,431
163143,1,"Black People,White People",White People,correct,571
163143,1,"Black People,White People",White People,correct,584
163143,1,"Black People,White People",Black People,correct,439
163143,1,"Black People,White People",White People,correct,473
163143,1,"Black People,White People",Black People,correct,383
163143,1,"Black People,White People",Black People,correct,469
163143,1,"Black People,White People",Black People,correct,359
163143,1,"Black People,White People",Black People,correct,422
163143,1,"Black People,White People",Black People,correct,381
163143,2,"Bad,Good",Good,correct,1576
163143,2,"Bad,Good",Good,correct,604
163143,2,"Bad,Good",Good,correct,614
163143,2,"Bad,Good",Good,correct,484
163143,2,"Bad,Good",Bad,correct,548
163143,2,"Bad,Good",Bad,correct,423
163143,2,"Bad,Good",Bad,correct,513
163143,2,"Bad,Good",Good,correct,490
163143,2,"Bad,Good",Good,correct,643
163143,2,"Bad,Good",Bad,correct,564
163143,2,"Bad,Good",Good,correct,576
163143,2,"Bad,Good",Good,correct,711
163143,2,"Bad,Good",Good,correct,537
163143,2,"Bad,Good",Bad,correct,610
163143,2,"Bad,Good",Good,correct,567
163143,2,"Bad,Good",Bad,correct,581
163143,2,"Bad,Good",Bad,correct,661
163143,2,"Bad,Good",Bad,correct,504
163143,2,"Bad,Good",Bad,correct,446
163143,2,"Bad,Good",Bad,correct,574
163143,3,"Black People/Bad,White People/Good",Black People/Bad,correct,656
163143,3,"Black People/Bad,White People/Good",Black People/Bad,correct,553
163143,3,"Black People/Bad,White People/Good",White People/Good,correct,576
163143,3,"Black People/Bad,White People/Good",White People/Good,correct,601
163143,3,"Black People/Bad,White People/Good",White People/Good,correct,541
163143,3,"Black People/Bad,White People/Good",White People/Good,correct,588
163143,3,"Black People/Bad,White People/Good",Black People/Bad,correct,562
163143,3,"Black People/Bad,White People/Good",White People/Good,correct,560
163143,3,"Black People/Bad,White People/Good",Black People/Bad,correct,526
163143,3,"Black People/Bad,White People/Good",Black People/Bad,correct,611
163143,3,"Black People/Bad,White People/Good",White People/Good,correct,558
163143,3,"Black People/Bad,White People/Good",Black People/Bad,correct,557
163143,3,"Black People/Bad,White People/Good",White People/Good,correct,550
163143,3,"Black People/Bad,White People/Good",Black People/Bad,correct,1071
163143,3,"Black People/Bad,White People/Good",Black People/Bad,correct,657
163143,3,"Black People/Bad,White People/Good",White People/Good,correct,676
163143,3,"Black People/Bad,White People/Good",White People/Good,correct,660
163143,3,"Black People/Bad,White People/Good",Black People/Bad,correct,629
163143,3,"Black People/Bad,White People/Good",Black People/Bad,correct,833
163143,3,"Black People/Bad,White People/Good",White People/Good,correct,577
163143,4,"Black People/Bad,White People/Good",Black People/Bad,correct,772
163143,4,"Black People/Bad,White People/Good",White People/Good,correct,687
163143,4,"Black People/Bad,White People/Good",White People/Good,correct,556
163143,4,"Black People/Bad,White People/Good",White People/Good,correct,675
163143,4,"Black People/Bad,White People/Good",Black People/Bad,correct,535
163143,4,"Black People/Bad,White People/Good",White People/Good,correct,561
163143,4,"Black People/Bad,White People/Good",White People/Good,correct,504
163143,4,"Black People/Bad,White People/Good",Black People/Bad,correct,751
163143,4,"Black People/Bad,White People/Good",White People/Good,correct,520
163143,4,"Black People/Bad,White People/Good",Black People/Bad,correct,662
163143,4,"Black People/Bad,White People/Good",White People/Good,correct,606
163143,4,"Black People/Bad,White People/Good",White People/Good,correct,648
163143,4,"Black People/Bad,White People/Good",White People/Good,correct,725
163143,4,"Black People/Bad,White People/Good",White People/Good,correct,654
163143,4,"Black People/Bad,White People/Good",Black People/Bad,correct,596
163143,4,"Black People/Bad,White People/Good",White People/Good,correct,489
163143,4,"Black People/Bad,White People/Good",Black People/Bad,correct,400
163143,4,"Black People/Bad,White People/Good",White People/Good,correct,587
163143,4,"Black People/Bad,White People/Good",Black People/Bad,correct,470
163143,4,"Black People/Bad,White People/Good",White People/Good,correct,516
163143,4,"Black People/Bad,White People/Good",Black People/Bad,correct,490
163143,4,"Black People/Bad,White People/Good",Black People/Bad,correct,647
163143,4,"Black People/Bad,White People/Good",White People/Good,correct,597
163143,4,"Black People/Bad,White People/Good",Black People/Bad,correct,511
163143,4,"Black People/Bad,White People/Good",White People/Good,correct,689
163143,4,"Black People/Bad,White People/Good",White People/Good,correct,555
163143,4,"Black People/Bad,White People/Good",White People/Good,correct,606
163143,4,"Black People/Bad,White People/Good",Black People/Bad,correct,519
163143,4,"Black People/Bad,White People/Good",Black People/Bad,correct,447
163143,4,"Black People/Bad,White People/Good",Black People/Bad,correct,590
163143,4,"Black People/Bad,White People/Good",Black People/Bad,correct,529
163143,4,"Black People/Bad,White People/Good",Black People/Bad,correct,503
163143,4,"Black People/Bad,White People/Good",White People/Good,correct,609
163143,4,"Black People/Bad,White People/Good",Black People/Bad,correct,634
163143,4,"Black People/Bad,White People/Good",White People/Good,correct,589
163143,4,"Black People/Bad,White People/Good",Black People/Bad,correct,607
163143,4,"Black People/Bad,White People/Good",White People/Good,correct,558
163143,4,"Black People/Bad,White People/Good",Black People/Bad,correct,490
163143,4,"Black People/Bad,White People/Good",Black People/Bad,correct,507
163143,4,"Black People/Bad,White People/Good",Black People/Bad,correct,655
163143,5,"White People,Black People",Black People,correct,554
163143,5,"White People,Black People",Black People,correct,515
163143,5,"White People,Black People",White People,correct,464
163143,5,"White People,Black People",White People,correct,549
163143,5,"White People,Black People",Black People,correct,465
163143,5,"White People,Black People",White People,correct,443
163143,5,"White People,Black People",Black People,correct,433
163143,5,"White People,Black People",Black People,correct,357
163143,5,"White People,Black People",White People,correct,457
163143,5,"White People,Black People",Black People,correct,384
163143,5,"White People,Black People",Black People,correct,394
163143,5,"White People,Black People",White People,incorrect,772
163143,5,"White People,Black People",White People,correct,624
163143,5,"White People,Black People",White People,correct,978
163143,5,"White People,Black People",White People,correct,592
163143,5,"White People,Black People",Black People,correct,429
163143,5,"White People,Black People",White People,correct,507
163143,5,"White People,Black People",Black People,correct,935
163143,5,"White People,Black People",White People,correct,703
163143,5,"White People,Black People",White People,correct,535
163143,5,"White People,Black People",White People,correct,508
163143,5,"White People,Black People",Black People,correct,498
163143,5,"White People,Black People",Black People,correct,449
163143,5,"White People,Black People",White People,correct,515
163143,5,"White People,Black People",White People,correct,583
163143,5,"White People,Black People",White People,correct,854
163143,5,"White People,Black People",Black People,correct,458
163143,5,"White People,Black People",Black People,correct,1017
163143,5,"White People,Black People",White People,correct,498
163143,5,"White People,Black People",White People,correct,724
163143,5,"White People,Black People",White People,correct,455
163143,5,"White People,Black People",Black People,correct,576
163143,5,"White People,Black People",White People,correct,566
163143,5,"White People,Black People",Black People,correct,552
163143,5,"White People,Black People",Black People,correct,431
163143,5,"White People,Black People",White People,correct,433
163143,5,"White People,Black People",Black People,correct,378
163143,5,"White People,Black People",Black People,correct,395
163143,5,"White People,Black People",Black People,correct,427
163143,5,"White People,Black People",Black People,correct,420
163143,6,"White People/Bad,Black People/Good",White People/Bad,correct,979
163143,6,"White People/Bad,Black People/Good",Black People/Good,incorrect,1488
163143,6,"White People/Bad,Black People/Good",Black People/Good,correct,838
163143,6,"White People/Bad,Black People/Good",White People/Bad,incorrect,1396
163143,6,"White People/Bad,Black People/Good",White People/Bad,correct,1095
163143,6,"White People/Bad,Black People/Good",Black People/Good,correct,923
163143,6,"White People/Bad,Black People/Good",White People/Bad,correct,942
163143,6,"White People/Bad,Black People/Good",Black People/Good,correct,896
163143,6,"White People/Bad,Black People/Good",Black People/Good,correct,814
163143,6,"White People/Bad,Black People/Good",Black People/Good,correct,729
163143,6,"White People/Bad,Black People/Good",Black People/Good,correct,939
163143,6,"White People/Bad,Black People/Good",White People/Bad,correct,849
163143,6,"White People/Bad,Black People/Good",Black People/Good,correct,854
163143,6,"White People/Bad,Black People/Good",White People/Bad,correct,994
163143,6,"White People/Bad,Black People/Good",White People/Bad,correct,519
163143,6,"White People/Bad,Black People/Good",White People/Bad,correct,754
163143,6,"White People/Bad,Black People/Good",White People/Bad,correct,655
163143,6,"White People/Bad,Black People/Good",White People/Bad,correct,605
163143,6,"White People/Bad,Black People/Good",Black People/Good,correct,651
163143,6,"White People/Bad,Black People/Good",Black People/Good,correct,767
163143,7,"White People/Bad,Black People/Good",Black People/Good,correct,679
163143,7,"White People/Bad,Black People/Good",Black People/Good,correct,688
163143,7,"White People/Bad,Black People/Good",White People/Bad,correct,761
163143,7,"White People/Bad,Black People/Good",White People/Bad,correct,506
163143,7,"White People/Bad,Black People/Good",White People/Bad,correct,522
163143,7,"White People/Bad,Black People/Good",Black People/Good,correct,788
163143,7,"White People/Bad,Black People/Good",Black People/Good,correct,402
163143,7,"White People/Bad,Black People/Good",Black People/Good,correct,636
163143,7,"White People/Bad,Black People/Good",Black People/Good,correct,610
163143,7,"White People/Bad,Black People/Good",Black People/Good,correct,461
163143,7,"White People/Bad,Black People/Good",Black People/Good,correct,609
163143,7,"White People/Bad,Black People/Good",White People/Bad,correct,484
163143,7,"White People/Bad,Black People/Good",White People/Bad,correct,602
163143,7,"White People/Bad,Black People/Good",White People/Bad,incorrect,781
163143,7,"White People/Bad,Black People/Good",Black People/Good,correct,640
163143,7,"White People/Bad,Black People/Good",White People/Bad,incorrect,1000
163143,7,"White People/Bad,Black People/Good",White People/Bad,correct,548
163143,7,"White People/Bad,Black People/Good",Black People/Good,correct,1079
163143,7,"White People/Bad,Black People/Good",White People/Bad,correct,773
163143,7,"White People/Bad,Black People/Good",White People/Bad,correct,842
163143,7,"White People/Bad,Black People/Good",White People/Bad,correct,546
163143,7,"White People/Bad,Black People/Good",White People/Bad,correct,601
163143,7,"White People/Bad,Black People/Good",Black People/Good,correct,551
163143,7,"White People/Bad,Black People/Good",Black People/Good,correct,513
163143,7,"White People/Bad,Black People/Good",White People/Bad,correct,538
163143,7,"White People/Bad,Black People/Good",Black People/Good,correct,829
163143,7,"White People/Bad,Black People/Good",White People/Bad,correct,585
163143,7,"White People/Bad,Black People/Good",White People/Bad,correct,678
163143,7,"White People/Bad,Black People/Good",Black People/Good,correct,478
163143,7,"White People/Bad,Black People/Good",Black People/Good,correct,494
163143,7,"White People/Bad,Black People/Good",White People/Bad,correct,612
163143,7,"White People/Bad,Black People/Good",Black People/Good,correct,780
163143,7,"White People/Bad,Black People/Good",Black People/Good,correct,735
163143,7,"White People/Bad,Black People/Good",White People/Bad,correct,752
163143,7,"White People/Bad,Black People/Good",Black People/Good,correct,571
163143,7,"White People/Bad,Black People/Good",White People/Bad,correct,493
163143,7,"White People/Bad,Black People/Good",Black People/Good,correct,571
163143,7,"White People/Bad,Black People/Good",White People/Bad,correct,689
163143,7,"White People/Bad,Black People/Good",Black People/Good,correct,534
163143,7,"White People/Bad,Black People/Good",White People/Bad,correct,832
164203,1,"Black People,White People",White People,correct,698
164203,1,"Black People,White People",White People,correct,1823
164203,1,"Black People,White People",Black People,correct,694
164203,1,"Black People,White People",Black People,correct,650
164203,1,"Black People,White People",Black People,correct,617
164203,1,"Black People,White People",Black People,correct,745
164203,1,"Black People,White People",Black People,correct,593
164203,1,"Black People,White People",White People,correct,602
164203,1,"Black People,White People",White People,correct,705
164203,1,"Black People,White People",White People,correct,807
164203,1,"Black People,White People",Black People,correct,795
164203,1,"Black People,White People",Black People,correct,630
164203,1,"Black People,White People",White People,correct,681
164203,1,"Black People,White People",Black People,correct,667
164203,1,"Black People,White People",White People,correct,751
164203,1,"Black People,White People",White People,correct,643
164203,1,"Black People,White People",Black People,correct,714
164203,1,"Black People,White People",White People,correct,1169
164203,1,"Black People,White People",Black People,correct,636
164203,1,"Black People,White People",White People,correct,587
164203,2,"Negative,Positive",Negative,correct,1821
164203,2,"Negative,Positive",Negative,correct,1035
164203,2,"Negative,Positive",Negative,correct,874
164203,2,"Negative,Positive",Positive,correct,795
164203,2,"Negative,Positive",Negative,incorrect,4060
164203,2,"Negative,Positive",Negative,correct,1145
164203,2,"Negative,Positive",Positive,correct,1282
164203,2,"Negative,Positive",Positive,correct,670
164203,2,"Negative,Positive",Negative,correct,910
164203,2,"Negative,Positive",Negative,correct,694
164203,2,"Negative,Positive",Negative,correct,865
164203,2,"Negative,Positive",Negative,correct,734
164203,2,"Negative,Positive",Negative,correct,761
164203,2,"Negative,Positive",Positive,correct,778
164203,2,"Negative,Positive",Positive,correct,625
164203,2,"Negative,Positive",Positive,correct,779
164203,2,"Negative,Positive",Positive,correct,645
164203,2,"Negative,Positive",Positive,correct,732
164203,2,"Negative,Positive",Positive,correct,689
164203,2,"Negative,Positive",Positive,correct,640
164203,3,"Black People/Negative,White People/Positive",Black People/Negative,correct,853
164203,3,"Black People/Negative,White People/Positive",Black People/Negative,correct,951
164203,3,"Black People/Negative,White People/Positive",Black People/Negative,correct,711
164203,3,"Black People/Negative,White People/Positive",Black People/Negative,correct,739
164203,3,"Black People/Negative,White People/Positive",White People/Positive,correct,784
164203,3,"Black People/Negative,White People/Positive",White People/Positive,correct,749
164203,3,"Black People/Negative,White People/Positive",White People/Positive,correct,861
164203,3,"Black People/Negative,White People/Positive",Black People/Negative,correct,805
164203,3,"Black People/Negative,White People/Positive",White People/Positive,correct,701
164203,3,"Black People/Negative,White People/Positive",Black People/Negative,correct,870
164203,3,"Black People/Negative,White People/Positive",White People/Positive,correct,764
164203,3,"Black People/Negative,White People/Positive",Black People/Negative,correct,835
164203,3,"Black People/Negative,White People/Positive",White People/Positive,correct,1606
164203,3,"Black People/Negative,White People/Positive",White People/Positive,correct,880
164203,3,"Black People/Negative,White People/Positive",Black People/Negative,correct,885
164203,3,"Black People/Negative,White People/Positive",White People/Positive,correct,818
164203,3,"Black People/Negative,White People/Positive",Black People/Negative,correct,905
164203,3,"Black People/Negative,White People/Positive",White People/Positive,correct,934
164203,3,"Black People/Negative,White People/Positive",Black People/Negative,correct,748
164203,3,"Black People/Negative,White People/Positive",White People/Positive,correct,590
164203,4,"Black People/Negative,White People/Positive",White People/Positive,correct,1054
164203,4,"Black People/Negative,White People/Positive",Black People/Negative,correct,868
164203,4,"Black People/Negative,White People/Positive",Black People/Negative,correct,649
164203,4,"Black People/Negative,White People/Positive",White People/Positive,correct,689
164203,4,"Black People/Negative,White People/Positive",Black People/Negative,correct,799
164203,4,"Black People/Negative,White People/Positive",White People/Positive,correct,571
164203,4,"Black People/Negative,White People/Positive",Black People/Negative,correct,550
164203,4,"Black People/Negative,White People/Positive",Black People/Negative,correct,687
164203,4,"Black People/Negative,White People/Positive",White People/Positive,correct,691
164203,4,"Black People/Negative,White People/Positive",Black People/Negative,correct,574
164203,4,"Black People/Negative,White People/Positive",Black People/Negative,correct,616
164203,4,"Black People/Negative,White People/Positive",Black People/Negative,correct,729
164203,4,"Black People/Negative,White People/Positive",White People/Positive,correct,593
164203,4,"Black People/Negative,White People/Positive",White People/Positive,correct,459
164203,4,"Black People/Negative,White People/Positive",White People/Positive,correct,515
164203,4,"Black People/Negative,White People/Positive",White People/Positive,correct,454
164203,4,"Black People/Negative,White People/Positive",White People/Positive,correct,622
164203,4,"Black People/Negative,White People/Positive",Black People/Negative,correct,494
164203,4,"Black People/Negative,White People/Positive",Black People/Negative,correct,660
164203,4,"Black People/Negative,White People/Positive",Black People/Negative,correct,540
164203,4,"Black People/Negative,White People/Positive",Black People/Negative,correct,585
164203,4,"Black People/Negative,White People/Positive",Black People/Negative,correct,615
164203,4,"Black People/Negative,White People/Positive",Black People/Negative,correct,568
164203,4,"Black People/Negative,White People/Positive",Black People/Negative,correct,650
164203,4,"Black People/Negative,White People/Positive",Black People/Negative,correct,574
164203,4,"Black People/Negative,White People/Positive",White People/Positive,correct,630
164203,4,"Black People/Negative,White People/Positive",Black People/Negative,correct,598
164203,4,"Black People/Negative,White People/Positive",White People/Positive,correct,523
164203,4,"Black People/Negative,White People/Positive",White People/Positive,correct,509
164203,4,"Black People/Negative,White People/Positive",White People/Positive,correct,523
164203,4,"Black People/Negative,White People/Positive",White People/Positive,correct,504
164203,4,"Black People/Negative,White People/Positive",Black People/Negative,correct,624
