unique_id,BFI a1,BFI a2,BFI a3,BFI a4,BFI a5,BFI a6,BFI a7,BFI a8,BFI a9,BFI c1,BFI c2,BFI c3,BFI c4,BFI c5,BFI c6,BFI c7,BFI c8,BFI c9,BFI e1,BFI e2,BFI e3,BFI e4,BFI e5,BFI e6,BFI e7,BFI e8,BFI n1,BFI n2,BFI n3,BFI n4,BFI n5,BFI n6,BFI n7,BFI n8,BFI o1,BFI o10,BFI o2,BFI o3,BFI o4,BFI o5,BFI o6,BFI o7,BFI o8,BFI o9
522741,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,5,2,5,5,5,5,6,1,4,5,1,6,1,6,2,5,4,5,6,2,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
527128,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,5,4,4,5,5,5,4,6,5,5,5,3,6,4,6,2,6,3,2,5,5,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
539125,5,6,1,5,6,2,5,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,5,3,6,3,6,5,5,3
559109,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,6,4,2,6,6,5,1,4,3,4,6,3,6,4,3,1,5,4,1,6,4,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
548429,2,5,3,6,5,2,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,5,6,6,5,5,5,1
550775,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,4,5,4,5,5,5,6,4,4,4,5,5,5,5,3,3,5,5,3,5,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
555831,6,5,6,5,6,3,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,6,5,6,5,6,4,4,1
557720,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,6,1,2,6,6,6,2,6,4,5,6,4,6,5,4,1,5,5,3,5,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
559640,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,6,2,3,6,5,4,3,3,4,2,5,5,6,4,4,3,5,5,4,6,3,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
568128,1,6,1,6,6,3,6,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,4,4,6,6,6,1,4,1
568742,5,3,6,6,6,1,6,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,4,5,1,5,4,6,5,1
575534,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,5,5,3,5,2,4,6,2,3,2,1,6,1,6,3,4,5,4,2,5,4,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
578307,2,6,2,6,5,2,6,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,5,5,6,6,5,4,4,3
581474,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,6,1,4,5,6,6,4,4,6,2,1,4,5,4,4,3,5,4,5,6,2,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
593293,2,5,1,6,1,2,6,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,6,5,5,6,6,2,6,1
593817,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,6,4,2,6,5,6,3,5,4,5,5,3,5,4,5,4,4,6,4,5,5,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
597411,2,6,1,6,5,1,5,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,6,4,5,5,6,1,5,1
627581,4,5,2,5,5,4,4,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,6,6,5,5,6,2,6,3
628624,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,6,1,2,6,6,6,2,5,4,5,5,2,1,5,5,1,6,1,1,5,6,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
629563,5,6,1,4,5,6,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,2,1,4,4,2,4,5,5
630625,4,4,1,4,5,4,3,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,6,4,5,5,6,1,5,5
643556,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,5,4,3,3,4,4,5,4,5,4,3,5,4,6,3,4,4,3,5,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
645951,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,6,2,2,6,6,5,3,5,5,5,5,6,5,6,4,4,5,6,5,4,6,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
648762,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,6,2,2,6,5,5,2,5,2,5,5,2,4,4,5,2,4,4,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
652654,5,5,3,6,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,5,6,5,6,5,NA,3
662985,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,6,4,1,6,6,5,4,5,4,6,5,4,4,5,4,1,4,4,2,5,4,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
659647,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,3,6,6,1,2,5,6,4,4,3,5,3,4,5,5,2,2,5,4,4,6,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
669471,3,4,1,6,4,5,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,4,3,4,4,4,5,4
201268,5,4,2,2,5,2,5,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,5,6,6,6,4,6,3,2
196719,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,6,6,5,4,6,6,4,6,6,1,6,4,6,6,6,5,6,6,4,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
194849,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,6,5,4,4,5,5,5,6,3,5,5,3,6,4,5,3,3,5,6,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
193446,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,6,2,1,6,5,5,4,2,4,5,6,4,6,5,4,2,5,4,4,5,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
193083,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4,1,5,5,5,5,4,4,4,4,4,4,3,4,3,1,5,2,2,6,3,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
186334,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,5,4,4,4,5,4,5,4,3,2,4,4,4,5,4,4,4,3,3,3,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
181481,3,4,2,5,5,4,5,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,4,3,3,4,3,4,4
